CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0022000004433403RW1P;05/05/2021;18;0,312;R
ES0022000004433403RW1P;05/05/2021;19;0,460;R
ES0022000004433403RW1P;05/05/2021;20;0,927;R
ES0022000004433403RW1P;05/05/2021;21;1,007;R
ES0022000004433403RW1P;05/05/2021;22;0,491;R
ES0022000004433403RW1P;05/05/2021;23;0,238;R
ES0022000004433403RW1P;05/05/2021;24;0,222;R
ES0022000004433403RW1P;06/05/2021;1;0,161;R
ES0022000004433403RW1P;06/05/2021;2;0,105;R
ES0022000004433403RW1P;06/05/2021;3;0,086;R
ES0022000004433403RW1P;06/05/2021;4;0,116;R
ES0022000004433403RW1P;06/05/2021;5;0,088;R
ES0022000004433403RW1P;06/05/2021;6;0,086;R
ES0022000004433403RW1P;06/05/2021;7;0,328;R
ES0022000004433403RW1P;06/05/2021;8;0,194;R
ES0022000004433403RW1P;06/05/2021;9;0,305;R
ES0022000004433403RW1P;06/05/2021;10;0,171;R
ES0022000004433403RW1P;06/05/2021;11;0,177;R
ES0022000004433403RW1P;06/05/2021;12;0,231;R
ES0022000004433403RW1P;06/05/2021;13;0,207;R
ES0022000004433403RW1P;06/05/2021;14;0,316;R
ES0022000004433403RW1P;06/05/2021;15;1,026;R
ES0022000004433403RW1P;06/05/2021;16;0,638;R
ES0022000004433403RW1P;06/05/2021;17;0,249;R
ES0022000004433403RW1P;06/05/2021;18;0,257;R
ES0022000004433403RW1P;06/05/2021;19;0,205;R
ES0022000004433403RW1P;06/05/2021;20;0,295;R
ES0022000004433403RW1P;06/05/2021;21;0,579;R
ES0022000004433403RW1P;06/05/2021;22;0,500;R
ES0022000004433403RW1P;06/05/2021;23;0,270;R
ES0022000004433403RW1P;06/05/2021;24;0,202;R
ES0022000004433403RW1P;07/05/2021;1;0,139;R
ES0022000004433403RW1P;07/05/2021;2;0,104;R
ES0022000004433403RW1P;07/05/2021;3;0,112;R
ES0022000004433403RW1P;07/05/2021;4;0,097;R
ES0022000004433403RW1P;07/05/2021;5;0,160;R
ES0022000004433403RW1P;07/05/2021;6;0,154;R
ES0022000004433403RW1P;07/05/2021;7;0,298;R
ES0022000004433403RW1P;07/05/2021;8;0,125;R
ES0022000004433403RW1P;07/05/2021;9;0,280;R
ES0022000004433403RW1P;07/05/2021;10;0,226;R
ES0022000004433403RW1P;07/05/2021;11;0,206;R
ES0022000004433403RW1P;07/05/2021;12;0,211;R
ES0022000004433403RW1P;07/05/2021;13;0,287;R
ES0022000004433403RW1P;07/05/2021;14;0,329;R
ES0022000004433403RW1P;07/05/2021;15;0,262;R
ES0022000004433403RW1P;07/05/2021;16;0,236;R
ES0022000004433403RW1P;07/05/2021;17;0,208;R
ES0022000004433403RW1P;07/05/2021;18;0,279;R
ES0022000004433403RW1P;07/05/2021;19;0,353;R
ES0022000004433403RW1P;07/05/2021;20;0,302;R
ES0022000004433403RW1P;07/05/2021;21;0,792;R
ES0022000004433403RW1P;07/05/2021;22;1,566;R
ES0022000004433403RW1P;07/05/2021;23;1,039;R
